NewRollNo,Class,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,Question15,Question16,Question17,Question18,Question19,Question20,Question21,Question22,Question23,Question24,Question25,Question26,Question27,Question28,Question29,Question30,Question31,Question32,Question33,Question34,Question35,Question36,Question37,Question38,Question39,Question40,Question41,Question42,Question43,Question44,Question45,Question46,Question47,Question48,Question49,Question50,Question51,Question52,Question53,Question54,Question55,Question56,Question57,Question58,Question59,Question60,Question61,Question62,Question63,Question64,Question65,Question66,Question67,Question68,Question69,Question70,Question71,Question72,Question73,Question74,Question75,Question76,Question77,Question78,Question79,Question80,Question81,Question82,Question83,Question84,Question85,Question86,Question87,Question88,Question89,Question90
1072,5,E,D,B,C,A,,B,,B,B,A,D,E,D,A,B,E,E,A,B,A,B,D,C,E,D,A,C,B,"A,E",B,D,C,B,E,A,C,B,D,E,A,B,D,C,"A,D","B,E",D,A,B,C,B,E,D,C,E,C,,D,C,E,B,C,C,E,B,D,E,C,B,D,C,A,A,C,C,D,A,E,C,E,,,,,,,,,,
1074,5,D,E,B,B,"B,C",D,"B,D",B,B,C,B,B,B,C,C,C,A,,C,B,B,A,D,A,C,C,C,A,A,C,,C,,B,C,D,,A,C,,E,D,B,,A,B,B,A,C,D,B,D,,A,C,B,B,B,E,,C,E,B,D,E,E,D,A,B,E,"B,D",C,C,D,D,D,D,B,D,E,,,,,,,,,,
1075,5,C,B,E,A,D,C,A,C,D,D,A,D,C,B,A,C,E,E,D,B,A,B,D,A,D,C,A,B,A,C,B,C,D,B,A,D,C,B,A,B,C,D,E,D,C,B,B,E,D,C,"A,B",A,B,C,D,E,D,C,B,C,"B,C",C,D,E,D,C,B,A,B,C,D,E,D,C,B,A,B,C,D,E,,,,,,,,,,
1077,5,A,E,"A,E",B,A,B,B,C,C,D,B,A,C,D,D,D,A,A,D,A,C,E,A,D,C,C,A,D,D,A,B,D,B,A,B,D,D,A,A,B,C,A,D,C,D,B,D,C,C,D,E,D,A,D,D,B,C,A,B,C,C,C,A,C,A,B,A,D,B,C,A,C,A,C,D,B,D,C,E,A,,,,,,,,,,
1078,5,C,A,C,A,C,C,C,C,"C,E",B,B,E,B,D,E,B,B,C,B,B,C,D,E,C,D,D,E,C,D,B,C,C,D,D,B,E,D,A,C,A,A,A,C,E,B,D,B,D,B,B,E,B,B,B,A,E,B,A,A,D,B,E,A,B,B,E,D,A,B,C,D,B,C,C,D,D,B,C,D,D,,,,,,,,,,
1079,5,C,A,C,A,C,C,C,C,E,D,B,C,B,C,D,B,A,E,B,B,B,C,E,C,E,B,B,D,D,B,C,A,A,D,D,A,C,D,C,B,A,B,C,E,C,D,A,E,D,D,"D,E",E,E,D,E,D,E,D,A,B,D,C,A,B,C,A,B,B,D,E,A,B,E,A,C,B,A,B,C,A,,,,,,,,,,
1080,5,C,D,E,A,A,C,D,A,B,C,D,E,B,D,A,B,D,C,D,A,A,C,B,C,B,A,C,D,A,D,A,C,B,C,D,C,B,A,B,C,D,C,B,A,B,C,D,E,D,C,B,A,A,B,C,D,E,D,C,B,A,B,C,D,E,E,D,C,B,A,"A,B",B,C,D,E,E,D,C,B,A,,,,,,,,,,
1081,5,A,B,D,B,C,C,E,A,C,A,B,D,B,A,C,B,C,D,D,B,B,C,E,A,E,D,D,D,C,B,E,C,A,E,B,D,C,D,C,A,D,C,B,A,B,"C,D",D,E,D,C,B,A,B,C,D,E,D,C,B,A,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,A,B,C,D,,,,,,,,,,
1082,5,A,B,C,D,C,D,B,C,A,E,C,B,B,D,C,D,C,D,D,B,C,C,D,D,D,B,B,C,B,D,A,C,B,A,D,C,E,C,E,C,C,E,D,C,B,A,B,C,D,E,D,C,B,A,B,C,D,E,D,C,A,B,C,D,E,D,C,B,A,B,C,D,E,D,C,B,A,B,C,D,,,,,,,,,,
1083,5,C,D,E,B,D,C,D,D,A,B,B,A,B,D,C,"B,C",C,D,D,B,D,E,A,B,D,D,D,D,B,A,D,C,A,B,D,B,A,B,B,C,A,C,C,C,B,B,C,D,B,C,D,C,A,B,C,C,B,D,A,C,E,C,C,A,E,D,B,D,A,B,B,E,B,D,B,C,A,C,A,B,,,,,,,,,,
1084,5,C,D,E,B,D,C,D,B,A,B,C,C,A,A,C,D,E,D,C,C,D,E,D,B,D,A,C,A,B,C,D,E,C,C,C,C,C,C,A,B,A,B,C,D,C,B,A,B,C,D,C,B,A,B,C,D,C,B,A,B,B,B,C,A,"B,E",B,D,D,B,E,"A,E",A,B,B,A,E,A,B,C,E,,,,,,,,,,
1085,5,B,C,A,B,D,C,D,D,D,D,C,C,D,C,D,B,D,C,C,C,B,C,B,D,D,B,C,D,A,A,C,C,D,B,B,D,C,A,E,B,B,D,C,E,C,B,B,E,B,A,B,D,D,C,A,C,C,E,D,A,C,B,C,D,E,A,A,A,B,C,"C,D",C,C,C,A,D,E,C,B,C,,,,,,,,,,
1086,5,D,C,A,E,D,C,B,B,C,E,"C,E",D,B,D,C,E,D,C,C,C,B,C,B,D,D,B,C,D,A,A,B,B,D,B,B,D,C,A,E,B,B,D,C,E,C,B,B,E,B,A,B,D,D,C,A,C,C,E,D,A,C,B,C,D,E,A,A,A,B,C,D,C,C,A,D,E,E,B,C,D,,,,,,,,,,
1088,5,C,B,A,B,A,E,D,D,E,D,B,D,B,E,C,C,E,B,B,C,D,C,B,A,C,E,D,C,B,,C,C,E,B,B,B,E,E,C,E,E,B,E,D,B,A,B,B,E,E,A,E,D,B,A,C,A,E,E,D,D,E,A,B,,E,A,D,E,"A,E",C,B,A,A,A,C,C,C,D,B,,,,,,,,,,
1089,5,E,E,A,B,D,C,D,B,E,A,E,D,B,E,C,C,D,A,E,A,B,C,D,B,E,A,C,A,D,A,A,C,C,E,E,D,E,E,B,E,A,D,B,A,C,D,B,E,E,D,B,A,B,C,A,B,C,B,B,E,B,B,A,A,D,E,C,E,C,B,B,B,,C,,,,,,,,,,,,,,,,
1092,5,D,A,A,B,C,C,D,B,B,D,C,C,B,C,C,B,B,D,A,A,B,C,D,"A,C",C,A,C,C,D,C,A,C,D,A,D,B,B,A,B,D,D,C,B,A,C,B,B,A,C,B,B,C,B,C,C,B,C,A,B,B,B,B,A,A,C,E,E,D,B,B,C,A,E,A,D,A,D,C,E,B,,,,,,,,,,
1094,5,D,A,B,C,C,C,D,B,D,C,B,B,A,D,C,D,E,D,"B,D",A,B,A,D,A,D,B,D,A,B,C,B,C,A,A,A,D,"A,C",A,B,C,C,D,B,C,C,C,C,B,C,"B,C",B,A,B,C,"A,D",B,C,B,B,B,D,A,"A,B",A,E,E,C,C,C,"C,D",C,A,E,D,D,B,"A,E",B,B,C,,,,,,,,,,
1095,5,"D,E",B,E,"B,E",,C,D,E,D,D,A,C,B,E,C,C,A,,D,A,D,B,D,C,C,C,C,D,D,D,E,C,E,B,D,E,C,A,E,C,C,B,C,A,E,D,B,D,A,E,D,D,C,B,C,C,C,A,B,B,A,D,C,B,C,B,D,C,B,B,D,C,B,C,D,C,E,"A,C",C,A,,,,,,,,,,
1097,5,D,C,B,C,C,C,D,B,D,A,C,B,B,E,C,B,D,D,C,A,B,C,D,B,C,A,D,E,D,C,B,C,B,D,B,D,B,B,B,E,B,C,B,B,C,B,B,A,B,D,B,D,C,D,D,C,C,B,B,A,D,D,A,D,E,E,D,C,C,A,B,A,A,D,B,A,D,E,B,C,,,,,,,,,,
1098,5,D,A,A,B,D,C,D,B,D,D,A,C,E,E,A,C,B,A,A,A,B,C,B,A,C,D,C,A,D,A,A,C,C,D,C,D,B,B,B,C,C,B,B,B,C,D,B,D,B,A,B,B,A,C,A,E,C,A,D,A,C,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,5,D,A,B,D,C,C,D,C,,,,C,D,C,C,B,,D,C,A,B,C,D,B,C,A,C,A,D,A,A,C,A,D,A,D,B,B,B,C,D,B,A,B,C,A,C,B,D,C,B,D,B,C,A,B,C,B,B,B,D,C,A,A,C,E,E,A,C,C,B,D,A,C,"A,C",B,D,C,A,B,,,,,,,,,,
1103,5,E,A,D,A,C,C,D,B,A,B,E,B,C,C,A,B,A,D,B,C,D,E,D,A,C,D,C,D,A,C,B,D,D,B,A,D,A,C,B,D,C,B,D,B,E,A,B,D,E,D,B,A,C,D,C,D,A,B,D,E,D,B,A,D,E,C,A,D,B,C,E,A,C,D,B,A,C,E,B,"A,E",,,,,,,,,,
1105,5,C,D,A,B,D,C,D,B,D,A,C,A,B,D,C,B,D,D,A,A,D,D,B,D,C,D,B,B,D,B,E,C,D,A,A,D,C,A,A,C,C,D,C,E,C,D,B,B,B,B,B,B,D,"B,D",D,D,C,"A,C",B,C,D,C,B,A,D,A,B,,D,E,D,C,C,D,B,B,C,D,B,D,,,,,,,,,,
1107,5,E,B,B,B,C,C,D,E,E,D,A,"A,B",B,"D,E",C,A,E,"B,E",A,B,"B,D","B,C",D,D,E,B,E,D,C,E,E,C,E,A,E,E,D,C,E,E,C,C,E,C,D,C,B,A,"A,E",A,B,B,E,C,D,D,C,B,C,E,"B,D",B,C,D,E,E,E,D,C,C,A,E,B,D,"D,E",E,D,C,D,E,,,,,,,,,,
1108,5,B,A,B,C,C,C,D,E,D,C,B,B,B,E,C,B,A,E,D,A,B,E,D,C,C,B,E,A,E,E,E,C,E,E,E,E,C,C,E,E,E,E,E,E,E,E,A,E,E,B,B,D,B,A,A,B,C,B,B,A,B,D,D,E,E,E,C,B,D,C,E,B,E,C,D,D,C,C,B,C,,,,,,,,,,
1109,5,D,A,B,C,C,C,D,B,D,B,C,E,D,C,C,B,B,D,B,A,B,B,D,B,C,B,C,A,D,C,A,C,D,D,C,D,D,C,B,C,B,A,B,C,"B,C",B,"B,C",C,D,B,B,B,B,E,B,B,C,B,B,B,B,D,B,E,E,E,E,A,C,C,B,B,D,E,D,B,B,E,B,C,,,,,,,,,,
1112,5,D,A,B,C,C,C,D,B,A,B,B,D,D,D,C,C,D,D,A,A,D,C,D,B,D,A,C,C,A,C,A,C,C,D,C,D,E,C,B,C,B,A,C,E,C,E,C,D,D,D,B,C,B,C,D,C,E,B,B,B,C,E,B,A,C,D,E,A,E,C,E,E,D,B,C,B,D,D,D,C,,,,,,,,,,
1117,5,D,A,E,C,C,C,D,B,E,A,C,B,B,C,C,B,D,D,D,A,B,C,B,D,C,A,B,A,D,C,B,C,C,D,B,D,D,A,B,B,C,B,D,B,C,A,C,A,A,D,B,B,B,C,D,C,C,B,D,C,D,B,B,A,C,E,C,A,D,A,E,B,E,C,C,A,D,E,A,A,,,,,,,,,,
1120,5,D,A,"B,D",B,C,C,D,B,"A,B,E",A,C,A,B,D,C,B,E,D,"B,C",A,D,C,D,C,C,B,E,C,A,A,B,C,"A,D",D,A,B,C,B,D,B,C,A,C,B,D,C,"B,C",B,A,B,B,D,B,C,A,B,D,B,C,B,D,B,A,B,D,B,A,A,A,C,E,C,D,A,E,A,D,C,E,C,,,,,,,,,,
1124,5,C,A,A,C,D,C,D,B,C,D,B,B,B,D,C,A,D,D,A,A,B,E,D,D,C,C,D,A,A,A,A,C,A,D,A,D,A,A,A,D,A,D,D,A,C,D,B,D,C,A,B,B,B,C,A,C,C,A,C,B,E,A,D,A,A,A,C,C,C,B,B,E,B,C,E,D,E,A,E,A,,,,,,,,,,
1125,5,C,E,D,A,D,C,D,B,D,A,A,B,C,A,C,B,D,D,A,B,B,"B,D",C,C,E,C,D,D,C,A,C,A,E,B,B,D,B,D,C,E,C,B,D,C,E,C,E,C,A,C,B,B,C,C,B,A,C,B,B,A,D,E,C,A,D,B,D,B,D,B,B,B,D,C,A,C,A,D,B,E,,,,,,,,,,
1127,5,C,C,A,B,C,C,D,B,D,D,C,C,B,D,D,B,C,A,C,E,C,B,D,C,C,B,D,C,C,A,C,C,B,A,C,D,C,D,B,C,A,C,C,"B,D",D,C,B,D,B,C,B,D,C,B,E,D,C,A,B,D,C,D,A,A,D,A,C,B,C,C,A,C,A,B,B,C,D,E,B,C,,,,,,,,,,
1128,5,C,A,B,C,C,C,D,B,D,D,C,A,D,C,C,E,A,D,B,A,B,C,D,B,C,B,D,A,D,B,B,C,A,D,D,D,A,A,E,E,B,D,D,C,C,D,C,B,B,D,B,D,B,C,A,C,C,B,B,B,B,B,A,A,C,E,E,A,D,A,E,A,D,B,E,A,B,D,B,D,,,,,,,,,,
1130,5,D,C,B,C,D,C,D,E,B,D,E,C,C,D,C,C,C,D,B,A,B,E,D,E,E,B,D,C,D,E,E,C,D,E,A,E,C,C,C,A,A,B,B,E,C,D,B,C,B,A,E,B,E,A,D,C,C,B,B,B,A,B,E,E,C,E,C,A,D,B,A,C,E,,,,,,,,,,,,,,,,,
1131,5,D,B,B,D,C,C,D,B,E,A,B,D,C,D,C,C,B,D,B,A,B,C,D,A,C,B,B,A,D,A,B,C,D,D,D,D,A,A,B,C,B,D,B,E,C,C,"B,D",C,D,B,B,B,B,C,A,D,C,B,C,C,A,C,B,A,E,E,E,A,A,A,B,E,E,A,A,B,D,D,E,C,,,,,,,,,,
1132,5,D,D,E,B,C,C,D,B,A,D,B,A,C,C,D,B,A,D,A,A,D,C,D,A,C,B,D,D,C,B,A,C,A,C,A,E,D,A,B,C,A,C,C,C,C,B,C,D,A,B,A,B,B,C,A,B,C,B,B,A,C,B,C,C,C,E,C,C,D,A,B,D,A,E,A,A,A,E,B,D,,,,,,,,,,
1133,5,A,D,C,D,A,B,D,B,C,D,A,C,B,C,D,D,B,C,C,A,A,C,B,A,D,A,B,D,D,A,B,B,C,D,A,B,D,D,A,B,C,A,B,A,B,C,D,A,B,C,"A,E",A,A,B,C,D,A,C,B,C,C,B,C,D,E,A,B,C,E,A,A,B,C,A,B,C,D,E,A,A,,,,,,,,,,
1134,5,C,B,E,B,D,E,A,B,C,B,D,B,B,D,D,B,E,C,B,D,D,C,D,A,C,D,A,B,B,B,C,E,A,D,C,D,A,C,B,B,C,E,C,D,A,C,A,B,C,D,C,C,C,A,A,C,B,B,A,C,D,C,C,"A,B",B,E,D,A,C,B,A,B,C,E,C,D,C,A,E,"A,D",,,,,,,,,,
1135,5,B,D,A,C,D,D,A,B,D,A,C,B,B,C,B,B,A,A,E,E,E,E,D,B,C,C,C,A,C,B,A,A,C,B,C,B,C,B,E,D,A,B,C,C,D,A,A,B,A,C,E,B,E,C,C,C,E,E,C,A,C,E,B,B,E,A,E,C,D,D,C,B,C,D,B,B,A,E,A,D,,,,,,,,,,
1136,5,D,A,B,,C,,D,B,E,,C,E,E,E,D,B,E,D,C,B,A,E,E,C,D,B,D,A,C,D,A,A,E,A,A,A,C,C,E,A,E,E,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,5,B,D,A,B,A,E,C,B,C,A,E,"B,D",D,C,B,A,E,C,E,A,"A,E",B,C,D,E,D,A,B,C,E,D,B,E,D,B,A,D,B,C,A,A,D,B,D,E,C,,,B,D,C,B,E,D,C,B,A,C,D,E,A,E,C,E,A,D,C,B,D,A,C,B,E,A,D,E,B,C,D,E,,,,,,,,,,
